日期,数据,其他
2025年2月6日,1.00 ,新炬网络
2025年2月5日,1.00 ,新炬网络
2025年1月27日,1.00 ,冀东装备
2025年1月24日,1.00 ,兴业股份
2025年1月23日,1.00 ,电光科技-兴业股份
2025年1月22日,1.00 ,冀凯股份
2025年1月21日,1.00 ,冀凯股份
2025年1月20日,1.00 ,金安国纪-冀凯股份-国旅联合
2025年1月17日,1.00 ,金奥博
2025年1月16日,1.00 ,金奥博-苏豪弘业-来伊份
2025年1月15日,1.00 ,美邦股份
