2025年4月30日,91.0,1.2,63.98,10.0,4.0,18.0,渝三峡A-鸿博股份,4.0,11.0,69.0,71.0,26.0,
2025年4月29日,71.0,1.0,66.23,6.0,4.0,14.0,茂业商业,4.0,23.0,69.0,59.0,26.0,
2025年4月28日,48.0,1.06,22.5,13.0,4.0,35.0,东北集团,6.0,41.0,68.0,40.0,19.0,
2025年4月25日,70.0,1.11,52.5,8.0,6.0,32.0,天元股份,6.0,18.0,68.0,65.0,30.0,
2025年4月24日,63.0,1.11,28.64,15.0,5.0,13.0,天元股份,6.0,11.0,69.0,52.0,23.0,
2025年4月23日,75.0,1.23,59.0,11.0,4.0,30.0,天元股份,6.0,18.0,64.0,61.0,34.0,
2025年4月22日,88.0,1.09,46.93,23.0,6.0,12.0,安记食品,6.0,12.0,79.0,80.0,21.0,
2025年4月21日,121.0,1.04,80.89,18.0,6.0,11.0,国光连锁,6.0,11.0,83.0,100.0,20.0,
2025年4月18日,71.0,0.91,44.34,17.0,5.0,24.0,国光连锁,6.0,10.0,74.0,59.0,21.0,
2025年4月17日,109.0,1.0,57.95,20.0,6.0,8.0,泰慕士,7.0,2.0,79.0,86.0,23.0,
2025年4月16日,57.0,1.11,18.72,15.0,5.0,13.0,泰慕士,7.0,6.0,75.0,45.0,15.0,
2025年4月15日,73.0,1.08,44.85,10.0,4.0,20.0,泰慕士,7.0,9.0,70.0,57.0,24.0,
2025年4月14日,124.0,1.28,84.41,13.0,7.0,8.0,国芳集团,7.0,2.0,77.0,102.0,31.0,
2025年4月11日,104.0,1.34,61.03,18.0,6.0,31.0,连云港-国芳集团,6.0,7.0,72.0,83.0,33.0,
2025年4月10日,198.0,1.61,91.0,26.0,6.0,14.0,海鸥住工,6.0,0.0,76.0,149.0,47.0,
2025年4月9日,557.0,1.7,83.95,24.0,5.0,19.0,海鸥住工,5.0,6.0,80.0,112.0,28.0,
2025年4月8日,219.0,1.63,61.0,18.0,4.0,27.0,海鸥住工,4.0,106.0,85.0,120.0,22.0,
2025年4月7日,37.0,1.58,1.97,11.0,3.0,338.0,海鸥住工,3.0,2800.0,73.0,22.0,8.0,
2025年4月3日,68.0,1.14,38.48,9.0,3.0,10.0,哈三联,5.0,23.0,77.0,51.0,15.0,
2025年4月2日,46.0,0.97,51.13,7.0,5.0,12.0,凯美特气,5.0,12.0,63.0,40.0,23.0,
2025年4月1日,80.0,1.13,71.46,9.0,4.0,9.0,凯美特气,4.0,9.0,62.0,55.0,34.0,
2025年3月31日,48.0,1.22,24.0,8.0,4.0,24.0,荣泰健康,5.0,43.0,69.0,34.0,15.0,
2025年3月28日,62.0,1.19,17.63,8.0,3.0,41.0,荣泰健康,5.0,20.0,59.0,32.0,22.0,当时没记录
2025年3月27日,62.0,1.19,35.29,8.0,5.0,41.0,尤夫股份,5.0,20.0,68.0,49.0,23.0,
2025年3月26日,94.0,1.15,65.81,9.0,4.0,8.0,太阳电缆-尤夫股份,5.0,2.0,79.0,74.0,20.0,
2025年3月25日,73.0,1.26,46.4,10.0,3.0,58.0,太阳电缆-尤夫股份-先锋电子,5.0,35.0,63.0,47.0,28.0,
2025年3月24日,62.0,1.45,27.09,12.0,5.0,41.0,雪龙集团,7.0,34.0,67.0,48.0,24.0,
2025年3月21日,55.0,1.58,18.49,19.0,7.0,29.0,神开股份,7.0,20.0,69.0,47.0,21.0,
2025年3月20日,75.0,1.44,36.0,19.0,7.0,11.0,奇精机械,7.0,0.0,69.0,62.0,28.0,
2025年3月19日,60.0,1.47,27.73,17.0,6.0,16.0,奇精机械,6.0,2.0,68.0,47.0,22.0,
2025年3月18日,84.0,1.52,55.0,16.0,6.0,9.0,明牌珠宝,9.0,65.0,23.0,74.0,,
2025年3月17日,84.0,1.57,58.42,19.0,5.0,18.0,明牌珠宝,9.0,2.0,76.0,65.0,21.0,
2025年3月14日,115.0,1.79,83.45,13.0,9.0,17.0,信隆健康,9.0,6.0,75.0,81.0,25.0,
2025年3月13日,71.0,1.61,27.74,12.0,8.0,26.0,信隆健康,8.0,11.0,80.0,43.0,11.0,
2025年3月12日,96.0,1.68,48.8,16.0,7.0,14.0,信隆健康,7.0,1.0,63.0,77.0,46.0,
2025年3月11日,88.0,1.48,53.4,14.0,6.0,9.0,信隆健康,6.0,2.0,82.0,53.0,12.0,
2025年3月10日,99.0,1.51,60.9,10.0,5.0,23.0,信隆健康,5.0,6.0,83.0,78.0,16.0,
2025年3月7日,77.0,1.82,31.85,18.0,5.0,34.0,云鼎科技,5.0,7.0,56.0,51.0,40.0,
2025年3月6日,118.0,1.91,82.37,15.0,4.0,2.0,云鼎科技-宁水集团,5.0,1.0,78.0,108.0,30.0,
2025年3月5日,72.0,1.49,42.38,13.0,5.0,5.0,天正电气,5.0,3.0,21.0,75.0,,
2025年3月4日,91.0,1.48,74.67,9.0,4.0,9.0,天正电气,4.0,8.0,83.0,76.0,16.0,
2025年3月3日,71.0,1.62,58.0,8.0,4.0,51.0,恒为科技,6.0,24,61,60,38,nan
